,Size,Connector Mismatch,Connector Heterogeneity,Token split,Control flow complexity,Separability,Average connector degree,Maximum connector degree,Sequentiality,Coefficient of network connectivity,Density,Number of duplicate tasks,Number of empty sequence flows
"(pdc2025_02000100.xes,Alpha miner)",61,10,0.9871377743721863,8,27,0.9180327868852459,3.1666666666666665,4,0.8904109589041096,1.1967213114754098,0.03933189655172414,0,7
"(pdc2025_01110000.xes,Alpha miner)",84,11,0.9760206482366149,60,79,0.9761904761904762,4.9393939393939394,16,0.9944444444444445,2.142857142857143,0.05739795918367347,0,45
"(pdc2025_02001100.xes,Alpha miner)",68,15,0.9976875760352552,21,52,1.0,3.4339622641509435,6,0.9805825242718447,1.5147058823529411,0.04470486111111111,0,20
"(pdc2025_00010011.xes,Alpha miner)",28,1,0.7642045065086203,6,12,0.9285714285714286,4.111111111111111,7,0.9411764705882353,1.2142857142857142,0.08854166666666667,0,7
"(pdc2025_10001011.xes,Alpha miner)",37,7,0.954434002924965,12,24,0.9459459459459459,4.5625,11,0.9444444444444444,1.4594594594594594,0.07941176470588235,0,8
"(pdc2025_10011110.xes,Alpha miner)",22,7,0.9182958340544896,3,12,0.9090909090909091,5.166666666666667,10,1.0,1.1818181818181819,0.12380952380952381,0,3
"(pdc2025_11000000.xes,Alpha miner)",77,2,0.9852281360342515,30,50,0.974025974025974,3.7142857142857144,7,0.9919354838709677,1.6103896103896105,0.043055555555555555,0,28
"(pdc2025_02010111.xes,Alpha miner)",51,9,0.9957274520849255,14,30,0.9607843137254902,3.8076923076923075,8,0.9242424242424242,1.2941176470588236,0.05172413793103448,0,12
"(pdc2025_12011100.xes,Alpha miner)",73,29,0.9833761901392235,38,72,1.0,4.090909090909091,11,1.0,1.9315068493150684,0.05525078369905956,0,32
"(pdc2025_12001010.xes,Alpha miner)",107,23,0.863120568566631,99,114,0.9813084112149533,5.071428571428571,15,1.0,2.3551401869158877,0.04929577464788732,0,64
"(pdc2025_10010011.xes,Alpha miner)",27,6,0.8453509366224364,6,18,0.8518518518518519,5.0,12,0.9523809523809523,1.5555555555555556,0.11931818181818182,0,5
"(pdc2025_11010010.xes,Alpha miner)",87,6,0.8989377852081333,69,87,0.9770114942528736,4.863013698630137,14,1.0,2.160919540229885,0.05690072639225181,0,55
"(pdc2025_01000010.xes,Alpha miner)",83,7,0.9374561707820048,52,70,0.9759036144578314,4.461538461538462,11,1.0,1.9036144578313252,0.04840686274509804,0,43
"(pdc2025_02011100.xes,Alpha miner)",62,5,0.9986359641585718,19,44,1.0,3.391304347826087,6,1.0,1.4838709677419355,0.04806687565308255,0,18
"(pdc2025_10000011.xes,Alpha miner)",32,10,0.8453509366224364,6,16,0.875,4.2727272727272725,10,0.9473684210526316,1.1875,0.07916666666666666,0,6
"(pdc2025_12000000.xes,Alpha miner)",101,4,0.9106223680988619,77,107,0.9801980198019802,4.898876404494382,15,0.9956331877729258,2.267326732673267,0.04893162393162393,0,48
"(pdc2025_00100010.xes,Alpha miner)",29,2,0.8112781244591328,5,13,0.9310344827586207,4.875,10,0.9117647058823529,1.1724137931034482,0.09444444444444444,0,4
"(pdc2025_00010000.xes,Alpha miner)",36,0,0.7219280948873623,4,6,0.9444444444444444,3.0,3,0.725,1.1111111111111112,0.0625,0,3
"(pdc2025_11100100.xes,Alpha miner)",79,6,0.9728063221185,50,69,0.9746835443037974,4.516129032258065,10,1.0,1.9493670886075949,0.05310344827586207,0,39
"(pdc2025_10001100.xes,Alpha miner)",34,0,0.9709505944546686,3,8,0.4117647058823529,3.0,3,0.6666666666666667,1.0588235294117647,0.0625,0,4
"(pdc2025_10101010.xes,Alpha miner)",33,5,0.8812908992306927,9,17,0.9393939393939394,5.7,13,0.9375,1.4545454545454546,0.09230769230769231,0,8
"(pdc2025_02010011.xes,Alpha miner)",90,12,0.9136617865655933,59,85,0.9777777777777777,4.561643835616438,12,0.9944444444444445,2.0,0.04849137931034483,0,51
"(pdc2025_00010111.xes,Alpha miner)",21,6,0.9709505944546686,2,12,0.8095238095238095,5.8,10,0.96,1.1904761904761905,0.1388888888888889,0,2
"(pdc2025_11100110.xes,Alpha miner)",79,8,0.8948692308065574,63,74,0.9746835443037974,5.131147540983607,13,1.0,2.1265822784810124,0.057931034482758624,0,46
"(pdc2025_11110000.xes,Alpha miner)",103,16,0.8894663896628685,102,104,0.9805825242718447,5.431818181818182,17,0.9960474308300395,2.4563106796116503,0.060238095238095236,0,69
"(pdc2025_10010000.xes,Alpha miner)",36,0,0.7219280948873623,4,6,0.9444444444444444,3.0,3,0.725,1.1111111111111112,0.0625,0,3
"(pdc2025_10000110.xes,Alpha miner)",29,19,0.9940302114769565,4,17,0.7241379310344828,3.8181818181818183,7,0.90625,1.103448275862069,0.08080808080808081,0,3
"(pdc2025_11100011.xes,Alpha miner)",77,3,0.9731560354421095,44,53,0.987012987012987,4.519230769230769,10,1.0,1.7532467532467533,0.046875,0,34
"(pdc2025_11011000.xes,Alpha miner)",80,3,0.9871377743721863,42,55,1.0,4.033333333333333,11,0.9716312056737588,1.7625,0.04842032967032967,0,39
