,Size,Connector Mismatch,Connector Heterogeneity,Token split,Control flow complexity,Separability,Average connector degree,Maximum connector degree,Sequentiality,Coefficient of network connectivity,Density,Number of duplicate tasks,Number of empty sequence flows
"(pdc2025_02000100.xes,Alpha Plus miner)",64,3,0.9910760598382222,72,118,0.953125,7.407407407407407,60,1.0,3.265625,0.10205078125,0,11
"(pdc2025_01110000.xes,Alpha Plus miner)",84,11,0.9760206482366149,60,79,0.9761904761904762,4.9393939393939394,16,0.9944444444444445,2.142857142857143,0.05739795918367347,0,45
"(pdc2025_02001100.xes,Alpha Plus miner)",70,7,0.9869444983748494,102,151,0.9714285714285714,7.776119402985074,72,1.0,3.742857142857143,0.10773026315789473,0,26
"(pdc2025_00010011.xes,Alpha Plus miner)",18,0,0.0,0,7,0.8888888888888888,7.0,7,1.0,0.7777777777777778,0.21875,0,0
"(pdc2025_10001011.xes,Alpha Plus miner)",27,3,0.9709505944546686,4,17,0.9259259259259259,4.7,11,1.0,1.2592592592592593,0.12142857142857143,0,1
"(pdc2025_10011110.xes,Alpha Plus miner)",17,4,0.0,0,10,0.8823529411764706,8.0,10,1.0,0.9411764705882353,0.26666666666666666,0,0
"(pdc2025_11000000.xes,Alpha Plus miner)",77,2,0.9852281360342515,30,50,0.974025974025974,3.7142857142857144,7,0.9919354838709677,1.6103896103896105,0.043055555555555555,0,28
"(pdc2025_02010111.xes,Alpha Plus miner)",44,5,0.9927744539878083,10,27,0.9545454545454546,3.95,8,0.9803921568627451,1.1590909090909092,0.05862068965517241,0,5
"(pdc2025_12011100.xes,Alpha Plus miner)",79,8,0.9418285354475157,99,151,1.0,6.589743589743589,96,1.0,3.2531645569620253,0.08862068965517242,0,41
"(pdc2025_12001010.xes,Alpha Plus miner)",109,27,0.8531935252328875,109,114,0.981651376146789,5.371134020618556,15,1.0,2.4403669724770642,0.05060882800608828,0,69
"(pdc2025_10010011.xes,Alpha Plus miner)",21,3,1.0,1,13,0.9047619047619048,7.5,12,0.9310344827586207,1.380952380952381,0.18125,0,1
"(pdc2025_11010010.xes,Alpha Plus miner)",72,17,0.9666186325481028,48,60,0.9722222222222222,4.482142857142857,10,0.9927536231884058,1.9166666666666667,0.056006493506493504,0,36
"(pdc2025_01000010.xes,Alpha Plus miner)",86,11,0.9411864371816836,54,78,0.9767441860465116,4.567164179104478,13,1.0,1.941860465116279,0.04832175925925926,0,46
"(pdc2025_02011100.xes,Alpha Plus miner)",60,8,0.9996734260048917,26,54,0.9666666666666667,3.893617021276596,7,1.0,1.7166666666666666,0.05728587319243604,0,17
"(pdc2025_10000011.xes,Alpha Plus miner)",24,3,0.9182958340544896,1,11,0.8333333333333334,7.0,10,0.9047619047619048,0.875,0.13125,0,0
"(pdc2025_12000000.xes,Alpha Plus miner)",101,4,0.9106223680988619,77,107,0.9801980198019802,4.898876404494382,15,0.9956331877729258,2.267326732673267,0.04893162393162393,0,48
"(pdc2025_00100010.xes,Alpha Plus miner)",23,4,0.9709505944546686,0,12,0.9130434782608696,5.8,10,1.0,1.0434782608695652,0.2,0,0
"(pdc2025_00010000.xes,Alpha Plus miner)",36,0,0.7219280948873623,4,6,0.9444444444444444,3.0,3,0.725,1.1111111111111112,0.0625,0,3
"(pdc2025_11100100.xes,Alpha Plus miner)",81,11,0.9690632527820694,48,67,0.9753086419753086,4.380952380952381,13,1.0,1.8888888888888888,0.05072944297082228,0,44
"(pdc2025_10001100.xes,Alpha Plus miner)",38,0,0.954434002924965,40,66,1.0,6.875,36,1.0,3.0526315789473686,0.16111111111111112,0,7
"(pdc2025_10101010.xes,Alpha Plus miner)",26,1,1.0,5,21,0.9230769230769231,5.7,13,1.0,1.5,0.1625,0,3
"(pdc2025_02010011.xes,Alpha Plus miner)",79,47,0.9468188316776024,40,77,0.9746835443037974,4.333333333333333,12,1.0,1.8860759493670887,0.0495345744680851,0,36
"(pdc2025_00010111.xes,Alpha Plus miner)",18,7,0.954434002924965,2,16,0.8888888888888888,5.0,10,1.0,1.3888888888888888,0.2777777777777778,0,0
"(pdc2025_11100110.xes,Alpha Plus miner)",60,23,0.9852281360342515,38,48,0.9666666666666667,4.642857142857143,10,1.0,1.8,0.060066740823136816,0,27
"(pdc2025_11110000.xes,Alpha Plus miner)",103,16,0.8894663896628685,102,104,0.9805825242718447,5.431818181818182,17,0.9960474308300395,2.4563106796116503,0.060238095238095236,0,69
"(pdc2025_10010000.xes,Alpha Plus miner)",36,0,0.7219280948873623,4,6,0.9444444444444444,3.0,3,0.725,1.1111111111111112,0.0625,0,3
"(pdc2025_10000110.xes,Alpha Plus miner)",23,10,1.0,0,9,0.7391304347826086,3.8333333333333335,7,0.9444444444444444,0.782608695652174,0.1,0,0
"(pdc2025_11100011.xes,Alpha Plus miner)",62,16,0.9892452969285004,32,45,0.9193548387096774,4.2926829268292686,10,0.99,1.6129032258064515,0.052083333333333336,0,21
"(pdc2025_11011000.xes,Alpha Plus miner)",80,3,0.9871377743721863,42,55,1.0,4.033333333333333,11,0.9716312056737588,1.7625,0.04842032967032967,0,39
"(pdc2025_00011011.xes,Alpha Plus miner)",21,5,0.9910760598382222,4,14,0.9047619047619048,5.0,7,1.0,1.2857142857142858,0.16875,0,2
"(pdc2025_12100111.xes,Alpha Plus miner)",84,22,0.8546480601169081,70,69,0.9523809523809523,4.897058823529412,15,1.0,2.0714285714285716,0.05228365384615385,0,45
