,Size,Connector Mismatch,Connector Heterogeneity,Token split,Control flow complexity,Separability,Average connector degree,Maximum connector degree,Sequentiality,Coefficient of network connectivity,Density,Number of duplicate tasks,Number of empty sequence flows
"(pdc2025_02000100.xes,Directly Follows miner)",451,0,0,0,415,0.9844789356984479,26.0,55,0.9976019184652278,1.8492239467849223,0.029411764705882353,384,0
"(pdc2025_01110000.xes,Directly Follows miner)",151,2,0,0,114,0.9735099337748344,9.666666666666666,19,0.9586776859504132,1.6026490066225165,0.03333333333333333,92,0
"(pdc2025_02001100.xes,Directly Follows miner)",496,0,0,0,461,0.9939516129032258,27.176470588235293,57,1.0,1.8629032258064515,0.029411764705882353,429,0
"(pdc2025_00010011.xes,Directly Follows miner)",127,0,0,0,107,0.9685039370078741,13.5,17,0.9908256880733946,1.7165354330708662,0.05555555555555555,92,0
"(pdc2025_10001011.xes,Directly Follows miner)",193,0,0,0,170,1.0,15.545454545454545,22,1.0,1.7720207253886011,0.045454545454545456,150,0
"(pdc2025_10011110.xes,Directly Follows miner)",120,0,0,0,102,0.9916666666666667,12.117647058823529,23,1.0,1.7166666666666666,0.058823529411764705,87,0
"(pdc2025_11000000.xes,Directly Follows miner)",313,0,0,0,277,0.9872204472843451,17.375,32,0.996415770609319,1.7827476038338659,0.029411764705882353,246,0
"(pdc2025_02010111.xes,Directly Follows miner)",399,1,0,0,367,0.9899749373433584,24.5,53,0.998641304347826,1.844611528822055,0.03225806451612903,338,0
"(pdc2025_12011100.xes,Directly Follows miner)",300,4,0,0,268,0.9966666666666667,17.35483870967742,46,1.0,1.7933333333333332,0.03225806451612903,239,0
"(pdc2025_12001010.xes,Directly Follows miner)",519,0,0,0,480,0.9961464354527938,25.31578947368421,40,1.0,1.8535645472061657,0.02631578947368421,444,0
"(pdc2025_10010011.xes,Directly Follows miner)",124,0,0,0,104,0.967741935483871,13.125,17,0.9905660377358491,1.7096774193548387,0.05555555555555555,89,0
"(pdc2025_11010010.xes,Directly Follows miner)",347,0,0,0,317,1.0,21.133333333333333,33,1.0,1.8270893371757926,0.03333333333333333,288,0
"(pdc2025_01000010.xes,Directly Follows miner)",482,0,0,0,448,0.9979253112033195,26.352941176470587,41,1.0,1.8589211618257262,0.029411764705882353,415,0
"(pdc2025_02011100.xes,Directly Follows miner)",389,0,0,0,357,0.9948586118251928,23.096774193548388,50,1.0,1.8406169665809768,0.03225806451612903,328,0
"(pdc2025_10000011.xes,Directly Follows miner)",189,0,0,0,165,0.9788359788359788,16.6,21,0.9940119760479041,1.7671957671957672,0.045454545454545456,146,0
"(pdc2025_12000000.xes,Directly Follows miner)",393,2,0,0,352,0.989821882951654,20.17142857142857,33,0.9943661971830986,1.806615776081425,0.02631578947368421,318,0
"(pdc2025_00100010.xes,Directly Follows miner)",200,1,0,0,178,0.985,16.181818181818183,25,1.0,1.78,0.045454545454545456,157,0
"(pdc2025_00010000.xes,Directly Follows miner)",116,0,0,0,96,0.9655172413793104,12.125,17,0.9897959183673469,1.6896551724137931,0.05555555555555555,81,0
"(pdc2025_11100100.xes,Directly Follows miner)",161,0,0,0,118,0.9627329192546584,12.526315789473685,24,0.9153846153846154,1.6149068322981366,0.03225806451612903,100,0
"(pdc2025_10001100.xes,Directly Follows miner)",157,0,0,0,136,0.9872611464968153,13.7,28,1.0,1.7452229299363058,0.05,118,0
"(pdc2025_10101010.xes,Directly Follows miner)",183,0,0,0,160,1.0,14.636363636363637,24,1.0,1.7595628415300546,0.045454545454545456,140,0
"(pdc2025_02010011.xes,Directly Follows miner)",474,0,0,0,439,1.0,25.88235294117647,36,1.0,1.8565400843881856,0.029411764705882353,407,0
"(pdc2025_00010111.xes,Directly Follows miner)",121,0,0,0,102,0.9586776859504132,13.733333333333333,22,0.9903846153846154,1.71900826446281,0.058823529411764705,88,0
"(pdc2025_11100110.xes,Directly Follows miner)",273,0,0,0,238,0.978021978021978,17.666666666666668,39,0.9855371900826446,1.7728937728937728,0.03225806451612903,212,0
"(pdc2025_11110000.xes,Directly Follows miner)",117,2,0,0,74,0.9658119658119658,8.823529411764707,13,0.8620689655172413,1.4871794871794872,0.03333333333333333,58,0
"(pdc2025_10010000.xes,Directly Follows miner)",112,0,0,0,92,0.9642857142857143,11.625,17,0.9893617021276596,1.6785714285714286,0.05555555555555555,77,0
"(pdc2025_10000110.xes,Directly Follows miner)",169,0,0,0,147,0.9644970414201184,16.444444444444443,28,0.9932885906040269,1.7633136094674555,0.05,130,0
"(pdc2025_11100011.xes,Directly Follows miner)",295,1,0,0,260,0.9932203389830508,15.352941176470589,29,1.0,1.769491525423729,0.029411764705882353,228,0
