,Size,Connector Mismatch,Connector Heterogeneity,Token split,Control flow complexity,Separability,Average connector degree,Maximum connector degree,Sequentiality,Coefficient of network connectivity,Density,Number of duplicate tasks,Number of empty sequence flows
"(pdc2025_02000100.xes,Heuristics miner)",142,2,0.222284830685688,0,29,0.9647887323943662,3.142857142857143,4,0.5605095541401274,1.1056338028169015,0.015725160256410256,45,0
"(pdc2025_01110000.xes,Heuristics miner)",126,2,0.49123734182433315,2,31,0.9682539682539683,3.2857142857142856,6,0.5804195804195804,1.1349206349206349,0.018239795918367347,41,0
"(pdc2025_02001100.xes,Heuristics miner)",155,4,0.19143325481419343,0,46,0.967741935483871,3.7058823529411766,5,0.6885245901639344,1.1806451612903226,0.015710851648351648,58,0
"(pdc2025_00010011.xes,Heuristics miner)",71,5,0.6722948170756379,2,17,0.9436619718309859,3.2941176470588234,6,0.5802469135802469,1.1408450704225352,0.03245192307692308,22,0
"(pdc2025_10001011.xes,Heuristics miner)",85,1,0.5665095065529053,1,14,0.9529411764705882,3.066666666666667,4,0.44565217391304346,1.0823529411764705,0.025555555555555557,24,0
"(pdc2025_10011110.xes,Heuristics miner)",66,8,0.8112781244591328,3,16,0.9393939393939394,3.375,5,0.5789473684210527,1.1515151515151516,0.03518518518518519,20,0
"(pdc2025_11000000.xes,Heuristics miner)",137,0,0.0,0,20,0.9708029197080292,3.0,3,0.410958904109589,1.0656934306569343,0.015625,40,0
"(pdc2025_02010111.xes,Heuristics miner)",134,3,0.205592508185083,0,35,0.9701492537313433,3.2903225806451615,5,0.6470588235294117,1.1417910447761195,0.01735480943738657,46,0
"(pdc2025_12011100.xes,Heuristics miner)",139,4,0.21084230031853213,0,40,0.8920863309352518,3.6666666666666665,5,0.6748466257668712,1.1726618705035972,0.017347807577692637,51,0
"(pdc2025_12001010.xes,Heuristics miner)",173,1,0.2811937964320427,1,52,0.976878612716763,3.5609756097560976,5,0.6911764705882353,1.1791907514450868,0.014026402640264026,64,0
"(pdc2025_10010011.xes,Heuristics miner)",71,5,0.6722948170756379,2,17,0.9436619718309859,3.2941176470588234,6,0.5802469135802469,1.1408450704225352,0.03245192307692308,22,0
"(pdc2025_11010010.xes,Heuristics miner)",124,2,0.5435644431995964,2,27,0.967741935483871,3.3333333333333335,6,0.5107913669064748,1.1209677419354838,0.01825105042016807,39,0
"(pdc2025_01000010.xes,Heuristics miner)",140,2,0.39124356362925566,1,28,0.9714285714285714,3.1538461538461537,4,0.49350649350649356,1.1,0.015830592105263157,43,0
"(pdc2025_02011100.xes,Heuristics miner)",144,6,0.20062232431271465,0,47,0.8958333333333334,3.875,5,0.7167630057803468,1.2013888888888888,0.017341619887730555,56,0
"(pdc2025_10000011.xes,Heuristics miner)",86,0,0.5435644431995964,1,16,0.9534883720930233,3.125,4,0.46808510638297873,1.0930232558139534,0.025543478260869567,25,0
"(pdc2025_12000000.xes,Heuristics miner)",162,2,0.0,0,38,0.9753086419753086,3.0555555555555554,4,0.6111111111111112,1.1111111111111112,0.013888888888888888,53,0
"(pdc2025_00100010.xes,Heuristics miner)",85,0,0.0,0,12,0.9529411764705882,3.0,3,0.4,1.0588235294117647,0.025,24,0
"(pdc2025_00010000.xes,Heuristics miner)",66,4,0.8112781244591328,2,10,0.9242424242424242,3.0,3,0.45070422535211263,1.0757575757575757,0.03262867647058824,17,0
"(pdc2025_11100100.xes,Heuristics miner)",128,5,0.2580186686648155,0,26,0.890625,3.217391304347826,5,0.5035460992907801,1.1015625,0.017364532019704434,40,0
"(pdc2025_10001100.xes,Heuristics miner)",75,4,0.8112781244591328,2,11,0.92,3.1666666666666665,4,0.4320987654320988,1.08,0.028846153846153848,20,0
"(pdc2025_10101010.xes,Heuristics miner)",86,0,0.5435644431995964,1,16,0.9534883720930233,3.125,4,0.46808510638297873,1.0930232558139534,0.025543478260869567,25,0
"(pdc2025_02010011.xes,Heuristics miner)",150,3,0.39124356362925566,2,45,0.9733333333333334,3.3333333333333335,6,0.6914285714285715,1.1666666666666667,0.015897529069767442,53,0
"(pdc2025_00010111.xes,Heuristics miner)",66,5,0.7219280948873623,2,15,0.9393939393939394,3.3333333333333335,6,0.5466666666666666,1.1363636363636365,0.034722222222222224,20,0
"(pdc2025_11100110.xes,Heuristics miner)",129,4,0.24988229283318544,0,27,0.9689922480620154,3.25,5,0.5244755244755245,1.1085271317829457,0.017362797474502187,41,0
"(pdc2025_11110000.xes,Heuristics miner)",124,2,0.5435644431995964,2,27,0.967741935483871,3.3333333333333335,6,0.5107913669064748,1.1209677419354838,0.01825105042016807,39,0
"(pdc2025_10010000.xes,Heuristics miner)",66,4,0.8112781244591328,2,10,0.9242424242424242,3.0,3,0.45070422535211263,1.0757575757575757,0.03262867647058824,17,0
"(pdc2025_10000110.xes,Heuristics miner)",80,1,0.7424875695421236,2,21,0.95,3.3684210526315788,5,0.5652173913043479,1.15,0.02904040404040404,25,0
"(pdc2025_11100011.xes,Heuristics miner)",138,2,0.4394969869215134,1,24,0.9710144927536232,3.1818181818181817,4,0.42666666666666664,1.0869565217391304,0.01583614864864865,41,0
