,Size,Connector Mismatch,Connector Heterogeneity,Token split,Control flow complexity,Separability,Average connector degree,Maximum connector degree,Sequentiality,Coefficient of network connectivity,Density,Number of duplicate tasks,Number of empty sequence flows
"(pdc2025_02000100.xes,Hybrid ILP miner)",61,1,0.99819587904281,19,54,0.8852459016393442,4.25,7,0.9238095238095239,1.721311475409836,0.05718954248366013,1,7
"(pdc2025_01110000.xes,Hybrid ILP miner)",21,0,0.0,0,4,0.19047619047619047,4.0,4,0.36363636363636365,1.0476190476190477,0.1,1,0
"(pdc2025_02001100.xes,Hybrid ILP miner)",55,4,0.9852281360342515,29,76,0.8909090909090909,5.333333333333333,13,1.0,2.2545454545454544,0.08683473389355742,1,9
"(pdc2025_00010011.xes,Hybrid ILP miner)",37,2,0.8960382325345574,5,15,0.7837837837837838,3.375,5,0.8085106382978724,1.2702702702702702,0.06871345029239766,1,6
"(pdc2025_10001011.xes,Hybrid ILP miner)",45,0,0.9709505944546686,8,21,0.9555555555555556,3.6,7,0.9,1.3333333333333333,0.05928853754940711,1,9
"(pdc2025_10011110.xes,Hybrid ILP miner)",35,2,0.9910760598382222,11,23,0.9428571428571428,4.333333333333333,7,0.8727272727272728,1.5714285714285714,0.09046052631578948,1,8
"(pdc2025_11000000.xes,Hybrid ILP miner)",42,0,0.7219280948873623,1,9,0.8571428571428572,3.0,3,0.6521739130434783,1.0952380952380953,0.05227272727272727,1,0
"(pdc2025_02010111.xes,Hybrid ILP miner)",49,1,0.9852281360342515,39,67,0.8775510204081632,6.514285714285714,14,0.937007874015748,2.5918367346938775,0.10583333333333333,1,15
"(pdc2025_12011100.xes,Hybrid ILP miner)",44,5,0.9833761901392235,24,53,0.8181818181818181,5.03030303030303,10,1.0,2.1136363636363638,0.09627329192546584,1,12
"(pdc2025_12001010.xes,Hybrid ILP miner)",62,8,0.992476003943082,58,113,0.9032258064516129,7.224489795918367,19,1.0,3.0483870967741935,0.1,1,18
"(pdc2025_10010011.xes,Hybrid ILP miner)",36,3,0.9182958340544896,6,14,0.8333333333333334,3.466666666666667,5,0.7173913043478262,1.2777777777777777,0.07120743034055728,1,6
"(pdc2025_11010010.xes,Hybrid ILP miner)",35,0,0.7219280948873623,4,8,0.8285714285714285,3.2,4,0.6,1.1428571428571428,0.06578947368421052,1,5
"(pdc2025_01000010.xes,Hybrid ILP miner)",56,1,0.8314743880097293,3,21,0.875,3.3684210526315788,7,0.8235294117647058,1.2142857142857142,0.04387096774193548,1,0
"(pdc2025_02011100.xes,Hybrid ILP miner)",60,15,0.996316519558962,98,161,0.9666666666666667,9.392857142857142,22,1.0,4.433333333333334,0.14794215795328142,1,24
