,Size,Connector Mismatch,Connector Heterogeneity,Token split,Control flow complexity,Separability,Average connector degree,Maximum connector degree,Sequentiality,Coefficient of network connectivity,Density,Number of duplicate tasks,Number of empty sequence flows
"(pdc2025_02000100.xes,Inductive miner)",68,0,0.7424875695421236,4,42,0.9705882352941176,5.684210526315789,26,0.9607843137254902,1.5,0.05167173252279635,14,0
"(pdc2025_01110000.xes,Inductive miner)",54,1,0.7871265862012691,2,37,0.9259259259259259,5.411764705882353,13,0.975609756097561,1.5185185185185186,0.07008547008547009,10,0
"(pdc2025_02001100.xes,Inductive miner)",74,0,0.6665783579949205,4,46,0.9459459459459459,5.130434782608695,26,0.9636363636363636,1.4864864864864864,0.04688832054560955,18,0
"(pdc2025_00010011.xes,Inductive miner)",100,0,0.4394969869215134,8,48,0.98,3.5,8,1.0,1.32,0.027093596059113302,41,0
"(pdc2025_10001011.xes,Inductive miner)",143,1,0.48791799258948587,12,67,0.986013986013986,3.3333333333333335,8,1.0,1.3006993006993006,0.018518518518518517,60,0
"(pdc2025_10011110.xes,Inductive miner)",66,0,0.6051865766334206,3,35,0.9696969696969697,3.7037037037037037,11,1.0,1.3333333333333333,0.042926829268292686,25,0
"(pdc2025_11000000.xes,Inductive miner)",57,0,0.863120568566631,3,38,0.9649122807017544,6.571428571428571,26,0.9545454545454546,1.543859649122807,0.06707317073170732,8,0
"(pdc2025_02010111.xes,Inductive miner)",52,0,0.5916727785823275,2,38,1.0,6.571428571428571,21,1.0,1.6153846153846154,0.0875,10,0
"(pdc2025_12011100.xes,Inductive miner)",65,0,0.7219280948873623,3,41,0.9384615384615385,5.1,22,0.9583333333333334,1.476923076923077,0.05333333333333334,15,0
"(pdc2025_12001010.xes,Inductive miner)",56,0,0.6193821946787638,2,44,1.0,7.846153846153846,24,1.0,1.6785714285714286,0.09494949494949495,8,0
"(pdc2025_10010011.xes,Inductive miner)",71,0,0.7871265862012691,5,39,0.971830985915493,3.5294117647058822,11,1.0,1.352112676056338,0.03986710963455149,26,0
"(pdc2025_11010010.xes,Inductive miner)",50,0,0.6840384356390417,1,38,0.96,7.636363636363637,19,1.0,1.6,0.09324009324009325,10,0
